timestamp,can_id_hex,dlc,payload_hex
2026-08-20 20:47:54,0x100,1,72
2026-08-20 20:47:54,0x101,2,1006
2026-08-20 20:47:54,0x102,1,50
2026-08-20 20:47:54,0x100,1,6e
2026-08-20 20:47:54,0x101,2,100a
2026-08-20 20:47:54,0x102,1,50
2026-08-20 20:47:55,0x100,1,6d
2026-08-20 20:47:55,0x101,2,105b
2026-08-20 20:47:55,0x102,1,50
2026-08-20 20:47:55,0x100,1,68
2026-08-20 20:47:55,0x101,2,1038
2026-08-20 20:47:55,0x102,1,50
2026-08-20 20:47:55,0x100,1,65
2026-08-20 20:47:55,0x101,2,10ae
2026-08-20 20:47:55,0x102,1,50
2026-08-20 20:47:55,0x100,1,61
2026-08-20 20:47:55,0x101,2,10be
2026-08-20 20:47:55,0x102,1,50
2026-08-20 20:47:55,0x100,1,5f
2026-08-20 20:47:55,0x101,2,10b8
2026-08-20 20:47:55,0x102,1,4f
2026-08-20 20:47:55,0x100,1,5e
2026-08-20 20:47:55,0x101,2,10e3
2026-08-20 20:47:55,0x102,1,4f
2026-08-20 20:47:55,0x100,1,61
2026-08-20 20:47:55,0x101,2,10d9
2026-08-20 20:47:55,0x102,1,4f
2026-08-20 20:47:55,0x100,1,61
2026-08-20 20:47:55,0x101,2,10a2
2026-08-20 20:47:55,0x102,1,50
2026-08-20 20:47:55,0x100,1,5f
2026-08-20 20:47:55,0x101,2,1105
2026-08-20 20:47:55,0x102,1,51
2026-08-20 20:47:55,0x100,1,5d
2026-08-20 20:47:55,0x101,2,118a
2026-08-20 20:47:55,0x102,1,51
2026-08-20 20:47:55,0x100,1,5b
2026-08-20 20:47:55,0x101,2,1191
2026-08-20 20:47:55,0x102,1,50
2026-08-20 20:47:55,0x100,1,57
2026-08-20 20:47:55,0x101,2,111b
2026-08-20 20:47:55,0x102,1,51
2026-08-20 20:47:55,0x100,1,5a
2026-08-20 20:47:55,0x101,2,109c
2026-08-20 20:47:55,0x102,1,50
2026-08-20 20:47:55,0x100,1,5c
2026-08-20 20:47:55,0x101,2,10d6
2026-08-20 20:47:55,0x102,1,4f
2026-08-20 20:47:55,0x100,1,5f
2026-08-20 20:47:55,0x101,2,1083
2026-08-20 20:47:55,0x102,1,4f
2026-08-20 20:47:55,0x100,1,63
2026-08-20 20:47:55,0x101,2,0fee
2026-08-20 20:47:55,0x102,1,4e
2026-08-20 20:47:55,0x100,1,65
2026-08-20 20:47:55,0x101,2,0f6f
2026-08-20 20:47:55,0x102,1,4d
2026-08-20 20:47:55,0x100,1,68
2026-08-20 20:47:55,0x101,2,0fec
2026-08-20 20:47:55,0x102,1,4e
2026-08-20 20:47:55,0x100,1,69
2026-08-20 20:47:55,0x101,2,102b
2026-08-20 20:47:55,0x102,1,4f
2026-08-20 20:47:55,0x100,1,65
2026-08-20 20:47:55,0x101,2,1055
2026-08-20 20:47:55,0x102,1,4e
2026-08-20 20:47:56,0x100,1,62
2026-08-20 20:47:56,0x101,2,1000
2026-08-20 20:47:56,0x102,1,4d
2026-08-20 20:47:56,0x100,1,60
2026-08-20 20:47:56,0x101,2,1056
2026-08-20 20:47:56,0x102,1,4d
2026-08-20 20:47:56,0x100,1,61
2026-08-20 20:47:56,0x101,2,101d
2026-08-20 20:47:56,0x102,1,4d
2026-08-20 20:47:56,0x100,1,62
2026-08-20 20:47:56,0x101,2,104c
2026-08-20 20:47:56,0x102,1,4e
2026-08-20 20:47:56,0x100,1,60
2026-08-20 20:47:56,0x101,2,0fc7
2026-08-20 20:47:56,0x102,1,4d
2026-08-20 20:47:56,0x100,1,5b
2026-08-20 20:47:56,0x101,2,0f3c
2026-08-20 20:47:56,0x102,1,4c
2026-08-20 20:47:56,0x100,1,57
2026-08-20 20:47:56,0x101,2,0ec6
2026-08-20 20:47:56,0x102,1,4c
2026-08-20 20:47:56,0x100,1,56
2026-08-20 20:47:56,0x101,2,0eb2
2026-08-20 20:47:56,0x102,1,4c
2026-08-20 20:47:56,0x100,1,55
2026-08-20 20:47:56,0x101,2,0e1d
2026-08-20 20:47:56,0x102,1,4c
2026-08-20 20:47:56,0x100,1,57
2026-08-20 20:47:56,0x101,2,0e20
2026-08-20 20:47:56,0x102,1,4d
2026-08-20 20:47:56,0x100,1,52
2026-08-20 20:47:56,0x101,2,0dd6
2026-08-20 20:47:56,0x102,1,4d
2026-08-20 20:47:56,0x100,1,52
2026-08-20 20:47:56,0x101,2,0e1f
2026-08-20 20:47:56,0x102,1,4d
2026-08-20 20:47:56,0x100,1,55
2026-08-20 20:47:56,0x101,2,0e48
2026-08-20 20:47:56,0x102,1,4c
2026-08-20 20:47:56,0x100,1,54
2026-08-20 20:47:56,0x101,2,0e67
2026-08-20 20:47:56,0x102,1,4b
2026-08-20 20:47:56,0x100,1,59
2026-08-20 20:47:56,0x101,2,0e49
2026-08-20 20:47:56,0x102,1,4b
2026-08-20 20:47:56,0x100,1,5a
2026-08-20 20:47:56,0x101,2,0e8d
2026-08-20 20:47:56,0x102,1,4b
2026-08-20 20:47:56,0x100,1,57
2026-08-20 20:47:56,0x101,2,0ef1
2026-08-20 20:47:56,0x102,1,4a
2026-08-20 20:47:56,0x100,1,56
2026-08-20 20:47:56,0x101,2,0f26
2026-08-20 20:47:56,0x102,1,49
2026-08-20 20:47:56,0x100,1,52
2026-08-20 20:47:56,0x101,2,0f6a
2026-08-20 20:47:56,0x102,1,49
2026-08-20 20:47:56,0x100,1,55
2026-08-20 20:47:56,0x101,2,0f1f
2026-08-20 20:47:56,0x102,1,48
2026-08-20 20:47:57,0x100,1,55
2026-08-20 20:47:57,0x101,2,0f10
2026-08-20 20:47:57,0x102,1,48
2026-08-20 20:47:57,0x100,1,52
2026-08-20 20:47:57,0x101,2,0e7a
2026-08-20 20:47:57,0x102,1,48
2026-08-20 20:47:57,0x100,1,53
2026-08-20 20:47:57,0x101,2,0e19
2026-08-20 20:47:57,0x102,1,48
2026-08-20 20:47:57,0x100,1,58
2026-08-20 20:47:57,0x101,2,0db3
2026-08-20 20:47:57,0x102,1,47
2026-08-20 20:47:57,0x100,1,5c
2026-08-20 20:47:57,0x101,2,0e3b
2026-08-20 20:47:57,0x102,1,47
2026-08-20 20:47:57,0x100,1,59
2026-08-20 20:47:57,0x101,2,0e60
2026-08-20 20:47:57,0x102,1,47
2026-08-20 20:47:57,0x100,1,58
2026-08-20 20:47:57,0x101,2,0e73
2026-08-20 20:47:57,0x102,1,47
2026-08-20 20:47:57,0x100,1,53
2026-08-20 20:47:57,0x101,2,0ea7
2026-08-20 20:47:57,0x102,1,47
2026-08-20 20:47:57,0x100,1,56
2026-08-20 20:47:57,0x101,2,0e1a
2026-08-20 20:47:57,0x102,1,48
2026-08-20 20:47:57,0x100,1,54
2026-08-20 20:47:57,0x101,2,0da1
2026-08-20 20:47:57,0x102,1,48
2026-08-20 20:47:57,0x100,1,58
2026-08-20 20:47:57,0x101,2,0e1f
2026-08-20 20:47:57,0x102,1,48
2026-08-20 20:47:57,0x100,1,58
2026-08-20 20:47:57,0x101,2,0e10
2026-08-20 20:47:57,0x102,1,49
2026-08-20 20:47:57,0x100,1,58
2026-08-20 20:47:57,0x101,2,0e93
2026-08-20 20:47:57,0x102,1,49
2026-08-20 20:47:57,0x100,1,5d
2026-08-20 20:47:57,0x101,2,0ebb
2026-08-20 20:47:57,0x102,1,49
2026-08-20 20:47:57,0x100,1,5a
2026-08-20 20:47:57,0x101,2,0f05
2026-08-20 20:47:57,0x102,1,4a
2026-08-20 20:47:57,0x100,1,5e
2026-08-20 20:47:57,0x101,2,0ec8
2026-08-20 20:47:57,0x102,1,49
2026-08-20 20:47:57,0x100,1,59
2026-08-20 20:47:57,0x101,2,0efd
2026-08-20 20:47:57,0x102,1,4a
2026-08-20 20:47:57,0x100,1,5e
2026-08-20 20:47:57,0x101,2,0efc
2026-08-20 20:47:57,0x102,1,4b
2026-08-20 20:47:57,0x100,1,5d
2026-08-20 20:47:57,0x101,2,0ee6
2026-08-20 20:47:57,0x102,1,4b
2026-08-20 20:47:57,0x100,1,60
2026-08-20 20:47:57,0x101,2,0eda
2026-08-20 20:47:57,0x102,1,4a
2026-08-20 20:47:58,0x100,1,5e
2026-08-20 20:47:58,0x101,2,0e93
2026-08-20 20:47:58,0x102,1,4a
2026-08-20 20:47:58,0x100,1,5a
2026-08-20 20:47:58,0x101,2,0f0d
2026-08-20 20:47:58,0x102,1,4b
2026-08-20 20:47:58,0x100,1,56
2026-08-20 20:47:58,0x101,2,0f35
2026-08-20 20:47:58,0x102,1,4a
2026-08-20 20:47:58,0x100,1,51
2026-08-20 20:47:58,0x101,2,0eee
2026-08-20 20:47:58,0x102,1,4b
2026-08-20 20:47:58,0x100,1,55
2026-08-20 20:47:58,0x101,2,0e76
2026-08-20 20:47:58,0x102,1,4a
2026-08-20 20:47:58,0x100,1,58
2026-08-20 20:47:58,0x101,2,0e75
2026-08-20 20:47:58,0x102,1,4b
2026-08-20 20:47:58,0x100,1,5b
2026-08-20 20:47:58,0x101,2,0e3d
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,5e
2026-08-20 20:47:58,0x101,2,0db9
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,60
2026-08-20 20:47:58,0x101,2,0deb
2026-08-20 20:47:58,0x102,1,4d
2026-08-20 20:47:58,0x100,1,5c
2026-08-20 20:47:58,0x101,2,0d80
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,61
2026-08-20 20:47:58,0x101,2,0d90
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,5c
2026-08-20 20:47:58,0x101,2,0db0
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,58
2026-08-20 20:47:58,0x101,2,0de1
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,5c
2026-08-20 20:47:58,0x101,2,0da9
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,5e
2026-08-20 20:47:58,0x101,2,0d7a
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,5b
2026-08-20 20:47:58,0x101,2,0d1d
2026-08-20 20:47:58,0x102,1,4b
2026-08-20 20:47:58,0x100,1,5e
2026-08-20 20:47:58,0x101,2,0c99
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:58,0x100,1,5f
2026-08-20 20:47:58,0x101,2,0cd6
2026-08-20 20:47:58,0x102,1,4d
2026-08-20 20:47:58,0x100,1,5c
2026-08-20 20:47:58,0x101,2,0cd7
2026-08-20 20:47:58,0x102,1,4c
2026-08-20 20:47:59,0x100,1,5c
2026-08-20 20:47:59,0x101,2,0cb9
2026-08-20 20:47:59,0x102,1,4c
2026-08-20 20:47:59,0x100,1,5b
2026-08-20 20:47:59,0x101,2,0cd1
2026-08-20 20:47:59,0x102,1,4d
2026-08-20 20:47:59,0x100,1,5f
2026-08-20 20:47:59,0x101,2,0ca9
2026-08-20 20:47:59,0x102,1,4e
2026-08-20 20:47:59,0x100,1,5e
2026-08-20 20:47:59,0x101,2,0c5a
2026-08-20 20:47:59,0x102,1,4e
2026-08-20 20:47:59,0x100,1,5f
2026-08-20 20:47:59,0x101,2,0c88
2026-08-20 20:47:59,0x102,1,4e
2026-08-20 20:47:59,0x100,1,5f
2026-08-20 20:47:59,0x101,2,0c56
2026-08-20 20:47:59,0x102,1,4d
2026-08-20 20:47:59,0x100,1,61
2026-08-20 20:47:59,0x101,2,0bdd
2026-08-20 20:47:59,0x102,1,4d
2026-08-20 20:47:59,0x100,1,66
2026-08-20 20:47:59,0x101,2,0b55
2026-08-20 20:47:59,0x102,1,4e
2026-08-20 20:47:59,0x100,1,6a
2026-08-20 20:47:59,0x101,2,0b4e
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:47:59,0x100,1,6b
2026-08-20 20:47:59,0x101,2,0bd5
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:47:59,0x100,1,6f
2026-08-20 20:47:59,0x101,2,0b9a
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:47:59,0x100,1,6c
2026-08-20 20:47:59,0x101,2,0c19
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:47:59,0x100,1,68
2026-08-20 20:47:59,0x101,2,0c59
2026-08-20 20:47:59,0x102,1,4e
2026-08-20 20:47:59,0x100,1,69
2026-08-20 20:47:59,0x101,2,0c42
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:47:59,0x100,1,64
2026-08-20 20:47:59,0x101,2,0ca9
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:47:59,0x100,1,62
2026-08-20 20:47:59,0x101,2,0c3d
2026-08-20 20:47:59,0x102,1,4e
2026-08-20 20:47:59,0x100,1,60
2026-08-20 20:47:59,0x101,2,0ca1
2026-08-20 20:47:59,0x102,1,4e
2026-08-20 20:47:59,0x100,1,5c
2026-08-20 20:47:59,0x101,2,0c53
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:47:59,0x100,1,5b
2026-08-20 20:47:59,0x101,2,0c21
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:47:59,0x100,1,59
2026-08-20 20:47:59,0x101,2,0c28
2026-08-20 20:47:59,0x102,1,4f
2026-08-20 20:48:00,0x100,1,55
2026-08-20 20:48:00,0x101,2,0c27
2026-08-20 20:48:00,0x102,1,50
2026-08-20 20:48:00,0x100,1,55
2026-08-20 20:48:00,0x101,2,0bdd
2026-08-20 20:48:00,0x102,1,50
2026-08-20 20:48:00,0x100,1,57
2026-08-20 20:48:00,0x101,2,0bf0
2026-08-20 20:48:00,0x102,1,50
2026-08-20 20:48:00,0x100,1,5b
2026-08-20 20:48:00,0x101,2,0c26
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,57
2026-08-20 20:48:00,0x101,2,0bec
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,5c
2026-08-20 20:48:00,0x101,2,0be7
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,5e
2026-08-20 20:48:00,0x101,2,0c70
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,60
2026-08-20 20:48:00,0x101,2,0c5b
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,62
2026-08-20 20:48:00,0x101,2,0c30
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,67
2026-08-20 20:48:00,0x101,2,0c0b
2026-08-20 20:48:00,0x102,1,50
2026-08-20 20:48:00,0x100,1,6b
2026-08-20 20:48:00,0x101,2,0be6
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,6e
2026-08-20 20:48:00,0x101,2,0bc7
